1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,14
15,3
16,4
17,5
18,6
19,7
20,8
21,9
22,10
23,11
24,12
25,13
26,14
27,14
28,4
29,5
30,6
31,7
32,8
33,9
34,10
35,11
36,12
37,13
38,14
39,14
40,5
41,6
42,7
43,8
44,9
45,10
46,11
47,12
48,13
49,14
50,14
51,6
52,7
53,8
54,9
55,10
56,11
57,12
58,13
59,14
60,14
61,7
62,8
63,9
64,10
65,11
66,12
67,13
68,14
69,14
70,8
71,9
72,10
73,11
74,12
75,13
76,14
77,14
78,9
79,10
80,11
81,12
82,13
83,14
84,14
85,10
86,11
87,12
88,13
89,14
90,14
91,11
92,12
93,13
94,14
95,14
96,12
97,13
98,14
99,14
100,12
101,12
